sampleA,sampleB,snp_distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
hcw#1,CARE0114#3,2,-4.695973217,-3.447245561,-2.812852872,-2.49052066,-2.350656693,-2.322030371,-2.363051262,-2.449625304,-2.567976965,-2.710071187,-2.870918582,-3.047150662,-3.236317391,-3.436541661,-3.64633715,-3.864501269,-4.090045572,-4.322147289,-4.560114129,-4.803358026,-5.051375202
hcw#1,hcw#42,1,-4.255161738,-3.013942954,-2.409357307,-2.140486063,-2.075852601,-2.138818313,-2.280288228,-2.468979887,-2.686061585,-2.920946732,-3.167939919,-3.423943567,-3.687140237,-3.956336606,-4.230665471,-4.509453019,-4.792155476,-5.078324361,-5.367584485,-5.659618544,-5.954155736
hcw#1,CARE0210#1,3,-5.60903388,-4.241550347,-3.483769704,-3.035909793,-2.7719146,-2.624134023,-2.553533648,-2.537104366,-2.560954002,-2.616286955,-2.697162068,-2.799304352,-2.919482537,-3.055169242,-3.204340306,-3.365346049,-3.536823137,-3.717631561,-3.906808236,-4.103532118,-4.307097531
hcw#1,CARE0063#7,2,-4.842046478,-3.54431365,-2.869977298,-2.517661763,-2.357483924,-2.316632282,-2.351173262,-2.434723567,-2.551825678,-2.693458349,-2.854151818,-3.030337111,-3.219490772,-3.419711665,-3.629506342,-3.847670277,-4.073214541,-4.305316251,-4.543283089,-4.786526986,-5.034544162
hcw#1,CARE0063#10,1,-3.901584499,-2.776327699,-2.271221112,-2.082138804,-2.076083793,-2.177635367,-2.341578007,-2.541767134,-2.764024611,-3.000975006,-3.248705996,-3.504948078,-3.76821511,-4.037430594,-4.311764273,-4.590552951,-4.873255657,-5.159424594,-5.448684728,-5.740718789,-6.035255981
hcw#1,CARE0118#2,5,-7.51360417,-6.005717832,-5.071048183,-4.42393945,-3.953049747,-3.602213476,-3.339118843,-3.143375801,-3.001177725,-2.902668429,-2.840529871,-2.809163621,-2.804184254,-2.822089205,-2.86003491,-2.915680193,-2.987073833,-3.07257208,-3.170776978,-3.280489482,-3.400673287
hcw#1,CARE0063#9,1,-3.901584499,-2.776327699,-2.271221112,-2.082138804,-2.076083793,-2.177635367,-2.341578007,-2.541767134,-2.764024611,-3.000975006,-3.248705996,-3.504948078,-3.76821511,-4.037430594,-4.311764273,-4.590552951,-4.873255657,-5.159424594,-5.448684728,-5.740718789,-6.035255981
hcw#1,hcw#43,1,-4.077154355,-2.892442266,-2.336861791,-2.10793421,-2.073284071,-2.156563655,-2.310258889,-2.505430461,-2.725535895,-2.961670592,-3.209125329,-3.465282905,-3.728526361,-3.997735798,-4.27206804,-4.550856401,-4.833559041,-5.119727965,-5.408988096,-5.701022157,-5.995559349
hcw#1,CARE0220#1,2,-4.555377508,-3.357123741,-2.762576324,-2.468839241,-2.347247264,-2.328868347,-2.374906794,-2.463632879,-2.582800238,-2.725170712,-2.886102614,-3.062358269,-3.251531046,-3.451756752,-3.661552559,-3.879716744,-4.105261059,-4.337362779,-4.575329619,-4.818573516,-5.066590692
hcw#1,CARE0063#8,1,-3.901584499,-2.776327699,-2.271221112,-2.082138804,-2.076083793,-2.177635367,-2.341578007,-2.541767134,-2.764024611,-3.000975006,-3.248705996,-3.504948078,-3.76821511,-4.037430594,-4.311764273,-4.590552951,-4.873255657,-5.159424594,-5.448684728,-5.740718789,-6.035255981
